TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
48.32699991,-0.08184975,0,0.034098973,3,0.051031036,0,1.317622827,0.117878076,-0.010114286,3,-0.6372,-0.480358987,5.460781607,0.192941367,0,0,1.026666667,4.736862954,COC1=CC=C2C(CCC(C(OC)=O)=C2)=C1,314.7,CH2Cl2,-1.91585,3.65004
44.66947311,-0.317128092,0,0.03218612,2,0.058677012,0,1.001726109,0.120145761,-0.0611678,3,-2.202040816,-1.390171918,6.049443208,0.180543623,0,0,0.897777778,5.625586319,O=C1OC2=CC(O)=CC=C2C(C)=C1,315.4,CH2Cl2,-2.56144,2.67441
52.59803751,-0.043410518,1,0.037042846,2,0.024056261,0,1.064581973,0.128982667,-0.001291278,5,-0.083933061,-0.360680408,5.804381673,0.204208929,0,5.687386275,1.262222222,5.316788604,CC(NC1=CC=C(/C=C(C(OC)=O)/C(OC)=O)C=C1)=O,316.4,CH2Cl2,-2.17262,3.14009
92.80917832,-0.066459011,0,0.029241381,14,0.226710566,0,1.183447867,0.114271278,-0.008777474,8,-1.711607355,-0.871665462,8.663299099,0.181108285,0,0,3.582222222,0,O=C(C1=C2C=C(SC3=CC=CC=C3C(OCC4=CC=C(C=C)C=C4)=O)C=C1)C5=C(C=CC(SC6=CC=CC=C6C(OCC7=CC=C(C=C)C=C7)=O)=C5)C2=O,321,???,-2.56493,2.7892
57.6211941,-0.172089242,1,0.02951604,4,0.070943143,0,1.02555668,0.114605176,-0.015360225,3,-1.090576003,-0.731753855,8.562032107,0.17821613,0,0,1.24,5.625586319,O=C1OC2=CC=C(C3=CC=CC=C3)C=C2N=C1C4=CC=CC=C4,323,CH2Cl2,-2.3871,2.5458
69.82980916,-0.118284521,2,0.034276219,6,0.0758903,0,1.249230205,0.124744446,-0.016283497,6,-1.905169136,-1.059668247,7.93576626,0.195983066,0,0,1.626666667,0,N#C/C(C1=CC=C(C(OC)=O)C=C1)=C/C(C=C2)=CC=C2/C=C(C3=CC=C(C(OC)=O)C=C3)\C#N,325.7,CH2Cl2,-2.55129,2.68002
72.02370377,-0.133018349,0,0.032568823,4,0.087539735,0,1.164786003,0.12514018,-0.013050601,6,-1.683527575,-1.530440837,7.638499259,0.191635219,0,0,2.204444444,0,O=C(OCC)/C(C(C1=CC=CC=C1)=O)=C/C(C=C2)=CC=C2/C=C(C(C3=CC=CC=C3)=O)\C(OCC)=O,326.3,CH2Cl2,-2.62546,2.71584
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,327,hexane,-2.47421,2.88241
65.22493964,0.405913882,2,0.043088495,1,0.065762428,0.03928371,1.086038961,0.142043652,0.055530797,4,3.831625,2.50293663,4.340553386,0.219533784,0,0,0.675,5.316788604,O=C(NCCOC(C(C)=C)=C)/C(C#N)=C/C1=CC=CO1,327.86,ACN,-1.83338,3.97125
64.98844773,0.106282506,0,0.030723478,4,0.235479515,0,0.843508053,0.117587088,0.059340487,3,4.806579417,2.611232095,6.603774434,0.192148505,0,35.12332038,1.924444444,4.736862954,O=C(C1=CC=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)C=C1O)C2=CC=CC=C2,327.9,CH2Cl2,-2.54763,3.04339
48.48294975,-0.218114373,0,0.03406318,2,0.065722928,0,0.941310976,0.115189002,-0.035640567,4,-1.532544379,-1.214458225,5.679319002,0.178102776,0,0,1.057777778,0,O=C(C1=CC=CC=C1/C2=C\OCC)OC2=O,328,CH2Cl2,-2.46696,3.13846
58.64816869,0.422094767,2,0.043813806,1,0.014731391,0.03928371,1.012203877,0.140754898,0.070006249,4,2.52022496,1.78631424,3.548179572,0.21204582,0,0,0.515,5.316788604,O=C(NCCO)/C(C#N)=C/C1=CC=CO1,328.32,ACN,-0.40385,4.98001
60.08585891,-0.096437749,0,0.040136706,4,0.027777778,0,1.325378741,0.132073996,-0.014374118,5,-1.178677686,-0.804838017,6.611368766,0.209895913,0,0,1.084444444,0,O=C(/C=C/C1=CC=C(C(OC)=O)C=C1)/C=C\C2=CC=C(C(OC)=O)C=C2,328.5,CH2Cl2,-2.62697,2.97986
55.53042801,-0.146925165,0,0.033889706,3,0.03794515,0,1.222102914,0.126252098,-0.025795,6,-1.934625,-1.43104585,6.11644385,0.189568984,0,0,1.235555556,9.473725908,CCOC(/C(C(OCC)=O)=C/C1=CC=C2C(OCCO2)=C1)=O,329.2,???,-2.34224,3.27625
